Location,Area_sqft,Bedroom,Bathroom,Price,Latitude,Longitude,Location_Label,Price_Zone,Price_Zone_Num,Distance_to_Center,Price_per_sqft,BedBath_Ratio,Price_per_Bedroom,Size_Category,Location_Cluster
"Purba Jurain, Shyampur",1140,2,2,5400000,23.6822807,90.4573131,shyampur,Low,0,0.13563611283172478,4736.8421052631575,0.6666666666666666,1800000.0,Medium,1
"Rasdia Mouza, Uttara",770,2,2,4500000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,5844.1558441558445,0.6666666666666666,1500000.0,Small,1
"Kopali Road, Khilkhet",950,2,2,5000000,23.8352032,90.4287005,khilkhet,Medium,1,0.029709014970042413,5263.1578947368425,0.6666666666666666,1666666.6666666667,Medium,1
"Priyanka City, Uttara",945,2,2,6500000,23.8685318,90.3797847,uttara,High,2,0.0667924650340835,6878.306878306878,0.6666666666666666,2166666.6666666665,Medium,1
"Gulshan 2, Gulshan",4000,4,4,118000000,23.7947536,90.41430849999999,gulshan,High,2,0.015651237178256384,29500.0,0.8,23600000.0,Large,2
"Nasirabad, 15 No. Bagmoniram Ward",3000,5,5,30800000,22.3608208,91.82330069999999,15 no. bagmoniram ward,Low,0,2.0227082257095623,10266.666666666666,0.8333333333333334,5133333.333333333,Large,0
"Kallyanpur, Mirpur",1265,3,3,9400000,23.7822036,90.35953719999999,mirpur,Medium,1,0.059953864569354254,7430.830039525692,0.75,2350000.0,Medium,1
"Paikpara, Mirpur",1350,3,3,8500000,23.7881532,90.35953719999999,mirpur,Medium,1,0.05740678473909157,6296.2962962962965,0.75,2125000.0,Medium,1
"Rasdia Mouza, Uttara",3900,5,5,65000000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,16666.666666666668,0.8333333333333334,10833333.333333334,Large,3
"Block B, Bashundhara R-A",2500,4,4,26000000,23.8140104,90.4272477,bashundhara r-a,Medium,1,0.01520729178552254,10400.0,0.8,5200000.0,Large,0
"Rasdia Mouza, Uttara",778,2,2,11000000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,14138.817480719794,0.6666666666666666,3666666.6666666665,Small,1
"Rasdia Mouza, Uttara",3800,5,5,115000000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,30263.157894736843,0.8333333333333334,19166666.666666668,Large,2
"Section 1, Mirpur",1268,3,3,8500000,23.8015639,90.3489496,mirpur,Medium,1,0.06414805362105391,6703.470031545741,0.75,2125000.0,Medium,1
"Shagufta New Road, Mirpur",1455,3,3,11349000,23.8302033,90.3768329,mirpur,Medium,1,0.040844624778541054,7800.0,0.75,2837250.0,Medium,1
"Section 15, Mirpur",1005,2,2,8840000,23.8223486,90.36542039999999,mirpur,Medium,1,0.048596887741092366,8796.019900497513,0.6666666666666666,2946666.6666666665,Medium,1
"Sector 4, Uttara",1365,3,3,16300000,23.8624077,90.4042719,uttara,High,2,0.0527533319222552,11941.391941391941,0.75,4075000.0,Medium,0
"Rasdia Mouza, Uttara",1450,4,4,11500000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,7931.0344827586205,0.8,2300000.0,Medium,1
"North Circular Road, Dhanmondi",800,2,2,7500000,23.7437813,90.3887117,dhanmondi,High,2,0.07064432508404384,9375.0,0.6666666666666666,2500000.0,Medium,1
"Rasdia Mouza, Uttara",700,2,2,4000000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,5714.285714285715,0.6666666666666666,1333333.3333333333,Small,1
"Rasdia Mouza, Uttara",1950,4,4,12675000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,6500.0,0.8,2535000.0,Large,0
"Rasdia Mouza, Uttara",1450,3,3,11500000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,7931.0344827586205,0.75,2875000.0,Medium,1
