Location,Area_sqft,Bedroom,Bathroom,Price,Latitude,Longitude,Area,Price_Zone
"PC Culture Housing, Mohammadpur",1300,3,3,20000,23.7680904,90.3518903,Mohammadpur,Medium
"Mohammadia Housing Society, Mohammadpur",1315,3,3,28000,23.76362,90.3554194,Mohammadpur,Medium
"Block I, Bashundhara R-A",2400,4,4,50000,23.8206687,90.4396248,Bashundhara R-A,High
"Sector 12, Uttara",950,2,2,40000,23.8713904,90.380721,Uttara,Medium
"Block C, Bashundhara R-A",2000,3,3,100000,23.8184723,90.4272477,Bashundhara R-A,High
"Gulshan 2, Gulshan",4233,5,5,200000,23.7947536,90.4143085,Gulshan,High
"Block C, Bashundhara R-A",2300,6,6,65000,23.8184723,90.4272477,Bashundhara R-A,High
"PC Culture Housing, Mohammadpur",1300,3,3,20000,23.7680904,90.3518903,Mohammadpur,Medium
"Block C, Khilgaon",1300,3,3,24000,23.7610623,90.4302394,Khilgaon,Low
"South Khulshi, Khulshi",1968,3,3,35000,22.3587138,91.8108977,Khulshi,Low
"Block C, Bashundhara R-A",2400,4,4,75000,23.8184723,90.4272477,Bashundhara R-A,High
"Block B, Bashundhara R-A",1650,3,3,38000,23.8140104,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",1650,3,3,40000,23.8184723,90.4272477,Bashundhara R-A,High
"Sector 11, Uttara",1090,2,2,23000,23.8773155,90.3901397,Uttara,Medium
"Block C, Bashundhara R-A",1900,3,3,60000,23.8184723,90.4272477,Bashundhara R-A,High
"Block A, Bashundhara R-A",1650,4,4,35000,23.8136688,90.4295717,Bashundhara R-A,High
"Sector 12, Uttara",1700,2,2,65000,23.8713904,90.380721,Uttara,Medium
"Iqbal Road, Mohammadpur",2150,4,4,60000,23.7622253,90.3683605,Mohammadpur,Medium
"Block C, Bashundhara R-A",4200,5,5,180000,23.8184723,90.4272477,Bashundhara R-A,High
"Govt Girls High School Road, East Nasirabad",1800,3,3,27000,22.3692903,91.8206016,East Nasirabad,Medium
"Block C, Bashundhara R-A",1450,3,3,30000,23.8184723,90.4272477,Bashundhara R-A,High
"Nobodoy Housing Society, Mohammadpur",1250,3,3,22500,23.7640006,90.3515962,Mohammadpur,Medium
"Block I, Bashundhara R-A",1880,4,4,35000,23.8206687,90.4396248,Bashundhara R-A,High
"Sector 12, Uttara",2170,4,4,50000,23.8713904,90.380721,Uttara,Medium
"Sector 11, Uttara",1500,4,4,60000,23.8773155,90.3901397,Uttara,Medium
"Block C, Bashundhara R-A",1900,4,4,40000,23.8184723,90.4272477,Bashundhara R-A,High
"Gulshan 2, Gulshan",3700,5,5,200000,23.7947536,90.4143085,Gulshan,High
"Block K, Baridhara",3600,4,4,300000,23.8028731,90.420766,Baridhara,High
"PC Culture Housing, Mohammadpur",1200,3,3,20000,23.7680904,90.3518903,Mohammadpur,Medium
"Block L, Bashundhara R-A",1150,3,3,25000,23.8206417,90.4490575,Bashundhara R-A,High
"Gulshan 2, Gulshan",3500,5,5,300000,23.7947536,90.4143085,Gulshan,High
"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward",2090,3,3,42000,22.3517735,91.8330525,16 No. Chawk Bazaar Ward,Medium
"24 No. North Agrabad Ward, Double Mooring",1250,3,3,20000,22.3327212,91.8050218,Double Mooring,Medium
"South Khulshi, Khulshi",1650,3,3,35000,22.3587138,91.8108977,Khulshi,Low
"Shahjadpur, Badda",1400,3,3,28000,23.7917066,90.4248906,Badda,Low
"Middle Badda, Badda",1000,2,2,21000,23.7798106,90.4237121,Badda,Low
"West Kafrul, Taltola",1550,4,4,30000,23.7829154,90.3730699,Taltola,Medium
"24 No. North Agrabad Ward, Double Mooring",1250,3,3,20000,22.3327212,91.8050218,Double Mooring,Medium
"Block E, Banasree",1700,4,4,35000,23.7619353,90.433141,Banasree,Medium
"Mohammadi Housing LTD., Mohammadpur",1400,2,2,22000,23.7627707,90.35188,Mohammadpur,Medium
"Sector 10, Uttara",1500,3,3,22000,23.884012,90.3883735,Uttara,Medium
"24 No. North Agrabad Ward, Double Mooring",1250,3,3,20000,22.3327212,91.8050218,Double Mooring,Medium
"Block C, Bashundhara R-A",1100,2,2,20000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Aftab Nagar",1200,3,3,25000,23.7610623,90.4302394,Aftab Nagar,Medium
"24 No. North Agrabad Ward, Double Mooring",1200,3,3,20000,22.3327212,91.8050218,Double Mooring,Medium
"Govt Girls High School Road, East Nasirabad",2000,3,3,35000,22.3692903,91.8206016,East Nasirabad,Medium
"Block K, Baridhara",2600,3,3,150000,23.8028731,90.420766,Baridhara,High
"Block K, Baridhara",4000,4,4,420000,23.8028731,90.420766,Baridhara,High
"Block C, Aftab Nagar",1200,3,3,25000,23.7610623,90.4302394,Aftab Nagar,Medium
"Block K, Baridhara",3000,4,4,140000,23.8028731,90.420766,Baridhara,High
"East Rampura, Rampura",1200,3,3,25000,23.7582378,90.4254798,Rampura,Low
"Bizlymoholla Road, Mohammadpur",1390,2,2,25000,23.7701957,90.3608695,Mohammadpur,Medium
"Block C, Bashundhara R-A",1300,2,2,40000,23.8184723,90.4272477,Bashundhara R-A,High
"Tayab Bag R/A, 7 No. West Sholoshohor Ward",1350,3,3,23000,22.374104,91.8342716,7 No. West Sholoshohor Ward,Medium
"South Khulshi, Khulshi",1650,3,3,35000,22.3587138,91.8108977,Khulshi,Low
"Sector 14, Uttara",1600,3,3,35000,23.8676564,90.3871961,Uttara,Medium
"Gulshan 2, Gulshan",2750,4,4,200000,23.7947536,90.4143085,Gulshan,High
"Nasirabad Properties Residential Area, Khulshi",2000,3,3,55000,22.3586885,91.8141603,Khulshi,Low
"Gulshan 1, Gulshan",2750,3,3,110000,23.7820624,90.4160527,Gulshan,High
"Sector 6, Uttara",1800,3,3,50000,23.8713307,90.4042719,Uttara,Medium
"Block F, Aftab Nagar",1400,3,3,30000,23.7641281,90.4466991,Aftab Nagar,Medium
"Tayab Bag R/A, 7 No. West Sholoshohor Ward",1300,3,3,27000,22.374104,91.8342716,7 No. West Sholoshohor Ward,Medium
"Block E, Bashundhara R-A",1480,3,3,37000,23.8110194,90.433141,Bashundhara R-A,High
"Block G, Bashundhara R-A",1650,3,3,30000,23.8244052,90.433141,Bashundhara R-A,High
"Sector 10, Uttara",1750,3,3,60000,23.884012,90.3883735,Uttara,Medium
"Baitul Aman Housing Society, Adabor",1600,4,4,23000,23.7734642,90.3580005,Adabor,Medium
"Tejkunipara, Tejgaon",1690,3,3,53000,23.7612995,90.3924947,Tejgaon,Medium
"Block K, Baridhara",3800,5,5,260000,23.8028731,90.420766,Baridhara,High
"Gulshan 2, Gulshan",2750,4,4,200000,23.7947536,90.4143085,Gulshan,High
"Block B, Aftab Nagar",1250,3,3,25000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block F, Aftab Nagar",1400,3,3,30000,23.7641281,90.4466991,Aftab Nagar,Medium
"Sector 6, Uttara",2000,4,4,43000,23.8713307,90.4042719,Uttara,Medium
"Gulshan 2, Gulshan",5000,5,5,380000,23.7947536,90.4143085,Gulshan,High
"Block H, Bashundhara R-A",1560,3,3,23000,23.8258759,90.4390353,Bashundhara R-A,High
"Gulshan 2, Gulshan",2800,3,3,250000,23.7947536,90.4143085,Gulshan,High
"Block D, Bashundhara R-A",2800,4,4,50000,23.8154814,90.433141,Bashundhara R-A,High
"Katalganj Residential Area, 16 No. Chawk Bazaar Ward",1300,3,3,28000,22.3617769,91.8376244,16 No. Chawk Bazaar Ward,Medium
"Block K, Baridhara",2882,3,3,200000,23.8028731,90.420766,Baridhara,High
"Block E, Aftab Nagar",1450,3,3,25000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block E, Bashundhara R-A",1510,3,3,37000,23.8110194,90.433141,Bashundhara R-A,High
"Gulshan 2, Gulshan",1600,3,3,90000,23.7947536,90.4143085,Gulshan,High
"Nasirabad Properties Residential Area, Khulshi",2000,3,3,55000,22.3586885,91.8141603,Khulshi,Low
"Road No 4, Jalalabad Housing Society",1200,3,3,20000,22.3707543,91.8007579,Jalalabad Housing Society,Medium
"Block A, Bashundhara R-A",2000,4,4,40000,23.8136688,90.4295717,Bashundhara R-A,High
"Nikunja 2, Nikunja",750,2,2,21000,23.8318836,90.4178201,Nikunja,Medium
"Block G, Banasree",1100,2,2,22000,23.7619353,90.433141,Banasree,Medium
"Block C, Bashundhara R-A",1200,3,3,30000,23.8184723,90.4272477,Bashundhara R-A,High
"Polytechnic, Bayazid",1800,3,3,25000,22.3891916,91.8172069,Bayazid,Medium
"Road 3, Block B,Bashundhara R/A
                                Block B, Bashundhara R-A",2200,4,4,40000,23.8129494,90.4277829,Bashundhara R-A,High
"Block G, Banasree",1650,3,3,35000,23.7619353,90.433141,Banasree,Medium
"Block L, Bashundhara R-A",1150,3,3,25000,23.8206417,90.4490575,Bashundhara R-A,High
"Block A, Bashundhara R-A",2000,4,4,40000,23.8136688,90.4295717,Bashundhara R-A,High
"Middle Badda, Badda",1300,3,3,25000,23.7798106,90.4237121,Badda,Low
"Gulshan 2, Gulshan",3900,5,5,320000,23.7947536,90.4143085,Gulshan,High
"Block G, Bashundhara R-A",1600,3,3,25000,23.8244052,90.433141,Bashundhara R-A,High
"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward",2000,3,3,40000,22.3517735,91.8330525,16 No. Chawk Bazaar Ward,Medium
"Sector 10, Uttara",1750,3,3,60000,23.884012,90.3883735,Uttara,Medium
"Gulshan 2, Gulshan",3900,5,5,320000,23.7947536,90.4143085,Gulshan,High
"Vatara, Badda",1200,2,2,21000,23.8002468,90.4293102,Badda,Low
"North Khulshi, Khulshi",2550,4,4,160000,22.3589004,91.8125895,Khulshi,Low
"Uttar Badda, Badda",1100,3,3,25000,23.7820433,90.4231228,Badda,Low
"South Khulshi, Khulshi",1500,3,3,26000,22.3587138,91.8108977,Khulshi,Low
"Block A, Bashundhara R-A",2000,4,4,40000,23.8136688,90.4295717,Bashundhara R-A,High
"Chawk Bazar, 16 No. Chawk Bazaar Ward",1600,4,4,27000,22.3517735,91.8330525,16 No. Chawk Bazaar Ward,Medium
"Al-Falah Housing Society, East Nasirabad",1600,3,3,25000,22.3666884,91.8222493,East Nasirabad,Medium
"Sector 10, Uttara",1750,3,3,60000,23.884012,90.3883735,Uttara,Medium
